car_id,make,model,year,price_per_day,mileage,availability,location,fuel_type,category,transmission,seats,horsepower,features,image_url,rating,bookings_count,predicted_price
15,Chevrolet,Ram 1500,2025,64.06,82780,True,New York,Gas,Truck,Manual,4,175,"Leather, Autopilot, GPS, AC, Bluetooth",https://picsum.photos/600/400,3.6,95,47.485264547382265
16,Audi,Camry,2021,118.83,69543,True,New York,Gas,Sedan,Manual,7,448,"Bluetooth, GPS, Autopilot, Backup Cam",https://placekitten.com/600/400,3.9,67,108.80750593504429
17,Nissan,Silverado,2019,32.05,31209,True,Miami,Hybrid,Truck,Automatic,5,185,"Bluetooth, Autopilot, GPS",https://dummyimage.com/600x400,4.2,278,27.180814388992253
18,Audi,Ram 1500,2018,176.93,83480,False,Los Angeles,Electric,Truck,Manual,4,204,"Bluetooth, Autopilot, Leather",https://dummyimage.com/600x400,3.8,175,185.26996708341227
19,BMW,X5,2025,85.25,18316,True,Boston,Hybrid,SUV,Automatic,4,320,"Backup Cam, Bluetooth, GPS",https://dummyimage.com/600x400,4.6,282,73.63864213427252
20,Hyundai,Mustang,2019,46.55,44073,True,Dallas,Electric,Sports,Manual,4,171,"Bluetooth, AC, Autopilot, GPS",https://picsum.photos/600/400,4.5,52,36.68858940542633
21,Hyundai,Silverado,2020,233.67,67059,False,Chicago,Diesel,Truck,Automatic,4,527,"Autopilot, Sunroof, GPS, Bluetooth",https://placekitten.com/600/400,3.7,55,285.0417221750849
22,Toyota,Challenger,2021,73.91,125665,True,Miami,Electric,Sports,Automatic,7,248,"Bluetooth, Autopilot, AC, Backup Cam, GPS",https://picsum.photos/600/400,4.5,204,71.40693104465602
23,Toyota,F-150,2022,69.28,74590,True,Atlanta,Diesel,Truck,Manual,7,552,"Sunroof, Leather, Backup Cam, AC",https://dummyimage.com/600x400,4.1,295,69.9817531031169
24,BMW,RAV4,2024,30.37,146151,True,Miami,Hybrid,SUV,Manual,4,490,"Leather, Bluetooth, AC, Backup Cam",https://placekitten.com/600/400,4.3,209,23.8795596377046
25,Chevrolet,Ram 1500,2022,151.97,55289,True,Boston,Electric,Truck,Manual,5,430,"Bluetooth, Autopilot",https://placekitten.com/600/400,3.8,296,139.5605236030862
26,Nissan,Silverado,2025,178.64,139001,True,Chicago,Gas,Truck,Manual,7,489,"AC, GPS, Bluetooth, Backup Cam",https://placekitten.com/600/400,4.7,75,181.61228171386554
27,Toyota,Civic,2025,164.48,24091,True,Atlanta,Electric,Sedan,Manual,5,354,"GPS, Backup Cam, AC",https://picsum.photos/600/400,4.8,54,136.08268645783693
28,Tesla,Mustang,2025,41.05,70325,False,Los Angeles,Diesel,Sports,Automatic,5,491,"Autopilot, Sunroof, Leather, Backup Cam",https://picsum.photos/600/400,4.7,280,43.36336054796347
29,Ford,911,2025,129.02,69812,False,Seattle,Diesel,Sports,Automatic,5,375,"Backup Cam, Bluetooth",https://dummyimage.com/600x400,3.9,171,117.39583943400137
30,Hyundai,F-150,2020,63.18,105410,True,Miami,Gas,Truck,Manual,5,319,"Sunroof, AC, GPS, Autopilot, Leather",https://dummyimage.com/600x400,4.9,299,60.41561833320912
31,Audi,Corolla,2025,31.3,97211,True,Boston,Diesel,Sedan,Automatic,5,262,"Sunroof, Autopilot, AC, Backup Cam",https://placekitten.com/600/400,4.0,207,28.47498745558298
32,Nissan,CR-V,2018,229.52,12104,True,Boston,Electric,SUV,Manual,4,175,"Sunroof, Bluetooth, GPS, Autopilot",https://dummyimage.com/600x400,4.0,194,293.2902333362737
33,Chevrolet,Silverado,2019,133.47,146405,True,Dallas,Electric,Truck,Automatic,7,170,"GPS, Autopilot",https://placekitten.com/600/400,4.8,78,133.19977881213418
34,Ford,Model Y,2019,154.07,62138,True,Seattle,Hybrid,SUV,Automatic,7,460,"Autopilot, GPS",https://placekitten.com/600/400,4.9,55,129.62577157636466
35,BMW,Altima,2024,117.26,56990,True,Miami,Gas,Sedan,Manual,7,457,"Autopilot, Leather",https://dummyimage.com/600x400,4.7,177,131.727742458983
36,Mercedes,Mustang,2023,32.78,115115,False,Los Angeles,Diesel,Sports,Manual,7,574,"Backup Cam, GPS, Sunroof, Autopilot, Bluetooth",https://picsum.photos/600/400,4.3,138,26.777111773092482
37,Nissan,Challenger,2022,100.91,69355,False,Los Angeles,Hybrid,Sports,Manual,4,534,"Leather, Autopilot, Sunroof, Bluetooth, AC",https://placekitten.com/600/400,4.2,166,104.07146380578948
38,Nissan,CR-V,2023,205.52,94217,True,Atlanta,Hybrid,SUV,Automatic,7,247,"GPS, Backup Cam",https://placekitten.com/600/400,4.1,284,145.1072894210343
39,Nissan,Model Y,2025,204.45,29393,True,Boston,Electric,SUV,Manual,7,447,"Sunroof, Leather, Backup Cam, Bluetooth",https://placekitten.com/600/400,4.1,281,163.71785434540737
40,Mercedes,Ram 1500,2025,89.6,70903,True,Miami,Hybrid,Truck,Automatic,7,424,"GPS, Autopilot, Sunroof",https://picsum.photos/600/400,3.9,268,92.24581501008102
41,Honda,F-150,2022,80.05,52039,True,Phoenix,Electric,Truck,Manual,4,177,"Backup Cam, GPS, Sunroof, AC",https://picsum.photos/600/400,4.8,293,88.91713745929488
42,Nissan,Silverado,2025,104.96,18468,True,Denver,Gas,Truck,Automatic,5,401,"Leather, Backup Cam",https://picsum.photos/600/400,4.5,77,107.65802221905489
43,Audi,Explorer,2019,248.66,36051,True,Boston,Electric,SUV,Manual,5,376,"Autopilot, Leather, Sunroof, Bluetooth",https://dummyimage.com/600x400,4.4,30,244.346434715201
44,Tesla,Civic,2022,175.29,46171,True,Phoenix,Gas,Sedan,Automatic,4,359,"Backup Cam, Leather, Sunroof, Bluetooth, AC",https://placekitten.com/600/400,3.8,144,167.37292998002303
45,Honda,911,2021,233.26,56857,True,Phoenix,Electric,Sports,Automatic,5,573,"AC, Autopilot, GPS",https://dummyimage.com/600x400,4.7,291,181.52799407903407
46,Nissan,F-150,2025,181.51,110515,False,Phoenix,Diesel,Truck,Manual,4,456,"Sunroof, Backup Cam",https://picsum.photos/600/400,4.0,128,161.91116166014146
47,Honda,Civic,2018,249.91,75650,True,Chicago,Diesel,Sedan,Manual,5,242,"Backup Cam, Sunroof, AC, Autopilot, GPS",https://placekitten.com/600/400,4.1,164,232.6422647124159
48,Ford,Accord,2024,182.61,80554,True,Boston,Gas,Sedan,Manual,4,311,"Bluetooth, AC, Sunroof, Backup Cam",https://placekitten.com/600/400,4.5,277,211.56616345947546
49,Chevrolet,Mustang,2021,144.06,135676,True,New York,Electric,Sports,Manual,7,217,"Sunroof, Backup Cam, Autopilot, AC",https://dummyimage.com/600x400,3.5,122,151.4852476192849
50,BMW,X5,2018,151.5,29434,True,Los Angeles,Diesel,SUV,Automatic,7,576,"Sunroof, Backup Cam, Bluetooth",https://dummyimage.com/600x400,4.3,139,111.43491246938187
51,Nissan,Challenger,2021,130.49,42917,True,Atlanta,Electric,Sports,Automatic,5,545,"Bluetooth, Leather, Autopilot, AC, GPS",https://placekitten.com/600/400,4.6,300,136.83345757494902
52,Ford,Challenger,2025,105.93,149681,False,Boston,Diesel,Sports,Manual,4,507,"Leather, Sunroof, GPS",https://placekitten.com/600/400,4.8,210,99.81123510532495
53,Mercedes,Corolla,2024,114.94,44873,True,New York,Electric,Sedan,Manual,4,597,"AC, Leather, Sunroof, Autopilot, Bluetooth",https://placekitten.com/600/400,3.7,79,103.26918779272496
54,Nissan,Accord,2023,167.12,109197,True,Dallas,Diesel,Sedan,Manual,7,517,"Autopilot, Leather, AC, Backup Cam, Sunroof",https://picsum.photos/600/400,4.4,147,182.45350120866289
55,Honda,Model Y,2019,197.28,31347,True,Seattle,Gas,SUV,Automatic,5,557,"Bluetooth, Autopilot",https://dummyimage.com/600x400,4.1,74,227.7893378697002
56,Hyundai,Model Y,2020,67.4,25701,True,Boston,Electric,SUV,Manual,7,223,"Sunroof, Backup Cam, Bluetooth",https://picsum.photos/600/400,4.2,4,76.81524200426476
57,BMW,911,2020,46.25,95587,False,Seattle,Diesel,Sports,Manual,5,582,"GPS, Sunroof, Backup Cam, AC",https://placekitten.com/600/400,3.9,292,40.42792843264294
58,Audi,Silverado,2022,34.83,108758,True,Atlanta,Gas,Truck,Manual,5,547,"Leather, Bluetooth, GPS",https://dummyimage.com/600x400,4.5,128,33.21451994236533
59,Honda,RAV4,2022,203.49,13746,True,Chicago,Gas,SUV,Manual,5,532,"GPS, Autopilot, Backup Cam, Bluetooth, Sunroof",https://placekitten.com/600/400,4.3,139,213.60131934844668
60,BMW,Model Y,2022,194.24,93792,False,Denver,Gas,SUV,Automatic,4,590,"Autopilot, Leather, Bluetooth, AC, GPS",https://picsum.photos/600/400,3.5,274,222.66348282383706
61,Nissan,Accord,2022,158.6,102379,True,Miami,Diesel,Sedan,Automatic,7,437,"Leather, GPS, AC, Sunroof",https://dummyimage.com/600x400,4.9,154,147.20044488166053
62,Honda,Mustang,2018,238.18,84787,False,Los Angeles,Gas,Sports,Automatic,7,219,"Sunroof, Bluetooth, Leather, Autopilot, Backup Cam",https://placekitten.com/600/400,4.6,79,231.54696174073183
63,Honda,Challenger,2024,236.59,78332,True,Dallas,Electric,Sports,Manual,5,270,"AC, Backup Cam, Bluetooth, Leather",https://picsum.photos/600/400,3.6,141,197.32783127498706
64,Honda,Model Y,2019,175.81,10598,True,Dallas,Electric,SUV,Automatic,7,255,"Autopilot, Leather",https://picsum.photos/600/400,3.8,110,144.2642370130566
65,Mercedes,CR-V,2018,91.0,42929,False,Phoenix,Hybrid,SUV,Automatic,4,488,"GPS, AC",https://dummyimage.com/600x400,4.0,121,102.0909774756808
66,Toyota,F-150,2022,41.53,115352,True,Los Angeles,Diesel,Truck,Manual,5,412,"Sunroof, Leather",https://picsum.photos/600/400,3.8,22,49.97869725798194
67,Nissan,Ram 1500,2018,43.38,130562,False,Boston,Gas,Truck,Manual,7,377,"AC, Bluetooth",https://dummyimage.com/600x400,4.4,33,42.91143013887677
68,BMW,X5,2023,113.8,144082,True,Phoenix,Diesel,SUV,Automatic,7,208,"Sunroof, Autopilot, GPS",https://placekitten.com/600/400,4.1,232,130.93030656701686
69,Chevrolet,911,2019,98.76,86926,True,Dallas,Electric,Sports,Manual,4,196,"AC, Sunroof",https://dummyimage.com/600x400,3.6,190,104.11727607505566
70,Hyundai,RAV4,2023,177.4,112691,True,Boston,Gas,SUV,Manual,7,309,"AC, Leather, Backup Cam, GPS",https://placekitten.com/600/400,3.7,246,160.23336332995765
71,Honda,Explorer,2023,55.27,78024,True,Boston,Gas,SUV,Manual,4,242,"Backup Cam, Bluetooth, Autopilot, Leather",https://dummyimage.com/600x400,3.5,73,58.26615026746751
72,Honda,Mustang,2018,50.19,144062,True,Boston,Diesel,Sports,Manual,4,339,"Backup Cam, Bluetooth, Leather, AC",https://placekitten.com/600/400,4.8,79,61.76910829063904
73,Audi,RAV4,2019,89.86,116152,True,Denver,Diesel,SUV,Manual,4,536,"Bluetooth, Sunroof",https://placekitten.com/600/400,3.7,249,89.37710081883696
74,Toyota,F-150,2024,246.58,19360,True,Seattle,Electric,Truck,Automatic,5,298,"AC, Autopilot, Sunroof, Leather",https://dummyimage.com/600x400,3.8,194,304.4514748975926
75,Hyundai,X5,2023,45.86,16089,True,Denver,Gas,SUV,Manual,7,369,"Backup Cam, Autopilot, Sunroof, Bluetooth, AC",https://dummyimage.com/600x400,4.1,166,27.83877342896665
76,Audi,Model Y,2023,49.39,32751,True,Atlanta,Diesel,SUV,Automatic,5,595,"Backup Cam, Bluetooth, GPS, Autopilot",https://placekitten.com/600/400,4.7,39,55.479064703663845
77,Hyundai,Altima,2021,229.3,96586,True,Chicago,Electric,Sedan,Automatic,4,281,"GPS, Leather, Autopilot",https://placekitten.com/600/400,4.6,38,232.29398391205189
78,Nissan,Model Y,2025,179.85,89727,False,Dallas,Electric,SUV,Manual,4,390,"Backup Cam, Bluetooth, Autopilot, AC, GPS",https://dummyimage.com/600x400,4.3,158,171.78352920280705
79,Nissan,Mustang,2018,111.12,80255,True,Los Angeles,Diesel,Sports,Manual,7,433,"Sunroof, Leather",https://picsum.photos/600/400,4.5,164,112.64946862329374
80,Hyundai,Mustang,2018,129.12,95030,False,Los Angeles,Electric,Sports,Automatic,4,512,"Sunroof, Leather, Backup Cam, GPS, Autopilot",https://picsum.photos/600/400,4.1,144,90.62476526200992
81,Chevrolet,Challenger,2018,203.63,92726,True,Los Angeles,Diesel,Sports,Manual,5,520,"Bluetooth, AC, Leather",https://picsum.photos/600/400,4.5,179,196.9202320219471
82,Chevrolet,F-150,2019,98.11,103744,True,Dallas,Electric,Truck,Automatic,7,493,"Leather, Bluetooth, AC, Backup Cam, GPS",https://placekitten.com/600/400,3.8,109,103.36544715865261
83,Nissan,F-150,2021,249.99,45617,True,Los Angeles,Gas,Truck,Manual,7,217,"GPS, Autopilot, Backup Cam, Leather, Bluetooth",https://placekitten.com/600/400,4.2,210,305.40880983673975
84,Tesla,Silverado,2022,195.53,122683,True,Miami,Hybrid,Truck,Manual,4,338,"Sunroof, Bluetooth, Autopilot, Leather, AC",https://picsum.photos/600/400,4.7,70,180.32939363314307
85,Toyota,Ram 1500,2025,222.31,31893,False,Phoenix,Gas,Truck,Manual,4,540,"Bluetooth, Sunroof, Leather",https://placekitten.com/600/400,3.7,223,195.34956807112232
86,Tesla,Corolla,2023,234.7,113762,True,Phoenix,Hybrid,Sedan,Automatic,5,191,"GPS, AC, Bluetooth, Backup Cam",https://placekitten.com/600/400,4.8,171,217.0356432806064
87,Ford,RAV4,2022,231.83,128851,True,Chicago,Diesel,SUV,Manual,7,152,"AC, Bluetooth",https://picsum.photos/600/400,3.8,76,263.66265094203084
88,Honda,Challenger,2021,96.25,17517,True,Atlanta,Diesel,Sports,Automatic,4,578,"Leather, Autopilot, AC, GPS, Bluetooth",https://dummyimage.com/600x400,3.7,219,100.9963441457117
89,Audi,Accord,2021,155.55,54103,True,Los Angeles,Hybrid,Sedan,Automatic,7,428,"Sunroof, Autopilot",https://dummyimage.com/600x400,3.6,198,143.18937004560559
90,BMW,Ram 1500,2018,108.56,22710,True,Los Angeles,Hybrid,Truck,Automatic,4,330,"Autopilot, Backup Cam, GPS, Sunroof",https://dummyimage.com/600x400,5.0,245,116.91804688081788
91,Ford,RAV4,2025,38.14,57845,True,Miami,Gas,SUV,Manual,5,413,"Autopilot, Leather, Sunroof, Bluetooth, AC",https://picsum.photos/600/400,4.6,97,38.69538065982014
92,Mercedes,F-150,2023,90.11,101474,True,Boston,Diesel,Truck,Manual,5,245,"Backup Cam, Sunroof, Bluetooth, Leather, AC",https://picsum.photos/600/400,4.6,40,103.20269001453781
93,Audi,Mustang,2022,100.67,25989,True,Seattle,Hybrid,Sports,Manual,7,517,"GPS, Backup Cam, Sunroof, Bluetooth, Autopilot",https://dummyimage.com/600x400,3.6,180,90.06864725590505
94,BMW,911,2018,46.51,111485,True,Chicago,Gas,Sports,Automatic,7,497,"AC, GPS, Autopilot, Backup Cam, Bluetooth",https://placekitten.com/600/400,4.0,196,44.22406503426067
95,Audi,Civic,2025,238.74,102521,True,Los Angeles,Electric,Sedan,Manual,5,310,"GPS, AC, Backup Cam, Autopilot",https://picsum.photos/600/400,4.2,198,224.6982149281843
96,BMW,Accord,2025,77.21,79862,True,Denver,Electric,Sedan,Automatic,4,586,"Sunroof, GPS",https://dummyimage.com/600x400,4.8,227,60.26030162820786
97,Mercedes,Accord,2019,151.0,81116,False,Chicago,Electric,Sedan,Manual,7,264,"GPS, Autopilot",https://dummyimage.com/600x400,3.9,252,157.70712427551265
98,Mercedes,Altima,2023,132.83,149610,True,Los Angeles,Gas,Sedan,Manual,5,517,"Leather, Sunroof, Backup Cam, AC, Autopilot",https://dummyimage.com/600x400,5.0,37,138.03139577054822
99,Nissan,911,2023,58.23,149520,True,Chicago,Electric,Sports,Manual,7,594,"Autopilot, AC",https://dummyimage.com/600x400,4.3,155,58.27466348704357
100,Ford,Explorer,2021,106.13,141025,False,Los Angeles,Hybrid,SUV,Automatic,7,432,"GPS, Backup Cam, Bluetooth, AC",https://placekitten.com/600/400,4.3,86,102.39549013023435
101,Ford,X5,2023,215.36,15798,False,New York,Gas,SUV,Automatic,7,544,"Backup Cam, GPS, Leather, Sunroof",https://placekitten.com/600/400,4.4,15,169.63786354880344
102,Hyundai,Challenger,2022,136.25,111454,True,Los Angeles,Gas,Sports,Automatic,5,362,"Sunroof, GPS, Bluetooth, Backup Cam, Autopilot",https://placekitten.com/600/400,4.8,163,127.65306121598297
103,Chevrolet,F-150,2023,143.3,32835,True,Denver,Gas,Truck,Manual,5,276,"AC, Autopilot, Bluetooth",https://picsum.photos/600/400,4.9,214,135.9333514672571
104,Ford,Explorer,2023,71.76,46770,True,Phoenix,Diesel,SUV,Manual,5,404,"AC, Sunroof",https://picsum.photos/600/400,4.3,123,63.1242874740985
105,Audi,Explorer,2018,41.12,134733,True,Denver,Hybrid,SUV,Automatic,4,370,"Bluetooth, Backup Cam, Autopilot",https://dummyimage.com/600x400,4.6,187,40.125189730444056
106,Chevrolet,Camry,2021,109.76,80655,True,Phoenix,Diesel,Sedan,Manual,7,498,"GPS, AC",https://picsum.photos/600/400,4.1,173,116.41229330659458
107,Ford,F-150,2024,140.02,16876,True,Dallas,Diesel,Truck,Manual,4,460,"Bluetooth, Leather, Autopilot",https://dummyimage.com/600x400,3.7,153,179.63556248312477
108,Hyundai,Ram 1500,2025,185.92,83588,True,New York,Hybrid,Truck,Manual,7,206,"Leather, Bluetooth, AC, Sunroof, GPS",https://dummyimage.com/600x400,5.0,296,190.78862604425433
109,Toyota,X5,2025,67.51,104664,True,Miami,Gas,SUV,Automatic,4,159,"Bluetooth, Sunroof, GPS, Backup Cam, Autopilot",https://dummyimage.com/600x400,3.8,256,70.11808403165408
110,Toyota,911,2020,144.11,90209,False,Denver,Diesel,Sports,Manual,4,385,"Leather, Bluetooth, Backup Cam, Sunroof",https://dummyimage.com/600x400,3.8,126,142.50073986184066
111,Hyundai,Silverado,2021,237.13,83017,False,Miami,Diesel,Truck,Manual,5,328,"Bluetooth, AC, Leather, Sunroof",https://dummyimage.com/600x400,4.8,202,168.88026725742074
112,Ford,Silverado,2018,93.28,25717,True,Denver,Hybrid,Truck,Manual,4,253,"Leather, Backup Cam, Bluetooth, GPS",https://dummyimage.com/600x400,3.7,300,92.90901785471456
113,Tesla,RAV4,2021,170.35,18760,True,Dallas,Diesel,SUV,Automatic,7,544,"AC, Leather, GPS",https://picsum.photos/600/400,4.1,243,171.88903243951808
114,Tesla,Challenger,2023,92.79,20509,False,Los Angeles,Electric,Sports,Automatic,4,363,"AC, Sunroof, Backup Cam",https://placekitten.com/600/400,3.8,148,127.07463534262646
115,Toyota,Accord,2019,234.26,92829,True,Phoenix,Diesel,Sedan,Automatic,7,389,"GPS, AC, Bluetooth, Autopilot",https://picsum.photos/600/400,4.6,131,227.50062805855612
116,Toyota,Explorer,2022,154.91,55636,True,Boston,Diesel,SUV,Manual,4,355,"GPS, Autopilot",https://picsum.photos/600/400,4.2,127,161.916904820135
117,BMW,Corolla,2021,128.28,74990,False,Seattle,Gas,Sedan,Manual,7,334,"AC, Backup Cam, Autopilot",https://placekitten.com/600/400,4.2,81,127.61207612733172
118,Hyundai,911,2022,181.86,82342,True,Miami,Electric,Sports,Automatic,5,228,"Backup Cam, Leather, Bluetooth, Sunroof, Autopilot",https://dummyimage.com/600x400,4.3,241,149.9796318117768
119,Tesla,X5,2019,145.61,143457,False,Los Angeles,Gas,SUV,Automatic,7,408,"Leather, Autopilot, GPS",https://picsum.photos/600/400,3.7,266,170.57096450322982
120,Honda,911,2021,187.72,133143,True,Phoenix,Diesel,Sports,Automatic,5,217,"Sunroof, Leather, AC, Autopilot, Bluetooth",https://placekitten.com/600/400,4.7,11,208.89293033439418
121,BMW,Mustang,2021,157.23,16872,True,Los Angeles,Gas,Sports,Automatic,5,166,"Sunroof, GPS, Backup Cam, Autopilot",https://placekitten.com/600/400,4.1,195,175.88609295503673
122,Chevrolet,Challenger,2019,180.2,146374,True,Dallas,Gas,Sports,Automatic,7,351,"Backup Cam, GPS, AC",https://placekitten.com/600/400,4.6,152,155.6192570968982
123,Hyundai,Challenger,2024,211.14,69883,True,Chicago,Hybrid,Sports,Automatic,7,541,"AC, Backup Cam",https://dummyimage.com/600x400,4.1,8,255.56789862165718
124,Tesla,RAV4,2019,160.67,122031,True,New York,Electric,SUV,Automatic,5,374,"Leather, GPS, AC",https://picsum.photos/600/400,3.7,148,126.88468846117462
125,Audi,Explorer,2023,82.12,42554,False,Phoenix,Electric,SUV,Manual,5,290,"Leather, Autopilot",https://placekitten.com/600/400,4.8,89,89.34890568143173
126,Hyundai,Challenger,2018,243.9,104917,False,Dallas,Diesel,Sports,Manual,4,303,"GPS, Leather, Sunroof, Autopilot, AC",https://placekitten.com/600/400,4.0,73,324.0378190702581
127,Toyota,911,2024,242.91,143934,True,Miami,Hybrid,Sports,Automatic,5,481,"Sunroof, Bluetooth",https://picsum.photos/600/400,3.6,97,206.8183231893757
128,BMW,Corolla,2018,222.2,54325,False,Atlanta,Electric,Sedan,Manual,4,595,"Bluetooth, AC, GPS, Leather",https://placekitten.com/600/400,4.9,60,203.32529667233962
129,Tesla,911,2021,117.26,67739,True,Seattle,Diesel,Sports,Manual,7,482,"Bluetooth, Autopilot, Backup Cam, Sunroof",https://dummyimage.com/600x400,4.2,240,119.01276786052652
130,Tesla,Silverado,2023,121.06,63005,False,New York,Hybrid,Truck,Manual,5,228,"Bluetooth, GPS, Sunroof",https://dummyimage.com/600x400,4.4,125,111.91738559690394
131,Hyundai,911,2023,86.61,133089,False,Denver,Diesel,Sports,Automatic,7,557,"GPS, Autopilot, Leather, Sunroof",https://picsum.photos/600/400,3.8,277,66.46455603530434
132,Hyundai,Camry,2019,237.94,17717,False,Boston,Electric,Sedan,Automatic,4,512,"AC, GPS, Leather",https://dummyimage.com/600x400,4.2,30,240.38708113380193
133,Nissan,Mustang,2018,147.09,112829,True,Phoenix,Hybrid,Sports,Manual,4,407,"Autopilot, GPS, AC, Leather, Bluetooth",https://placekitten.com/600/400,3.7,98,123.65186201220409
134,Mercedes,Silverado,2024,47.38,111437,True,Miami,Electric,Truck,Manual,7,573,"Backup Cam, Autopilot",https://dummyimage.com/600x400,4.6,47,50.74582140452424
135,Chevrolet,Challenger,2025,42.35,7477,False,Los Angeles,Diesel,Sports,Manual,7,551,"Leather, AC, Autopilot, Backup Cam",https://picsum.photos/600/400,3.8,290,36.50935755202977
136,BMW,Mustang,2019,180.57,78498,False,Atlanta,Gas,Sports,Automatic,5,158,"Leather, GPS, Sunroof",https://dummyimage.com/600x400,4.9,153,222.55074832710255
137,Audi,CR-V,2024,178.95,146705,True,Chicago,Gas,SUV,Manual,4,200,"GPS, AC, Bluetooth, Sunroof, Autopilot",https://dummyimage.com/600x400,3.5,139,157.92552350046455
138,Nissan,Mustang,2023,151.67,103415,True,Atlanta,Diesel,Sports,Automatic,7,301,"Backup Cam, AC, Autopilot",https://placekitten.com/600/400,3.9,194,144.34293947556276
139,Chevrolet,Explorer,2023,53.44,6361,False,Denver,Hybrid,SUV,Manual,4,217,"GPS, Sunroof",https://picsum.photos/600/400,4.2,284,59.961154014435266
140,Honda,Mustang,2019,107.86,29396,True,Dallas,Diesel,Sports,Automatic,5,361,"Autopilot, AC, Leather, GPS, Bluetooth",https://placekitten.com/600/400,4.3,194,87.94584622441504
141,Ford,Explorer,2022,89.05,43255,True,Boston,Hybrid,SUV,Manual,5,397,"Bluetooth, Autopilot",https://picsum.photos/600/400,4.9,253,92.08829607647465
142,Nissan,RAV4,2020,97.02,108728,True,Atlanta,Diesel,SUV,Manual,5,321,"Autopilot, Backup Cam, Leather, GPS, Sunroof",https://placekitten.com/600/400,4.0,102,116.04284850307216
143,Mercedes,Mustang,2024,243.12,81401,False,Denver,Electric,Sports,Manual,5,293,"Bluetooth, AC, Leather, GPS, Autopilot",https://picsum.photos/600/400,5.0,92,184.49830140202116
144,Nissan,Civic,2025,205.49,23129,False,Boston,Diesel,Sedan,Automatic,7,305,"Bluetooth, Backup Cam, GPS",https://dummyimage.com/600x400,4.6,193,211.18106173847048
145,Nissan,Altima,2025,158.09,145081,True,Boston,Gas,Sedan,Manual,7,565,"AC, GPS",https://picsum.photos/600/400,4.5,181,164.25273064141
146,Audi,RAV4,2024,242.7,91926,False,Boston,Gas,SUV,Automatic,4,282,"Leather, Backup Cam, Autopilot",https://picsum.photos/600/400,4.3,294,271.16226164705296
147,Nissan,Explorer,2024,131.87,136194,True,New York,Diesel,SUV,Automatic,5,362,"AC, Backup Cam",https://picsum.photos/600/400,3.7,159,107.4024964634761
148,Nissan,F-150,2025,106.63,30591,True,Denver,Hybrid,Truck,Automatic,5,172,"AC, Bluetooth",https://placekitten.com/600/400,4.5,84,85.50995670202354
149,Hyundai,CR-V,2020,102.82,116770,False,Miami,Diesel,SUV,Automatic,4,477,"Sunroof, AC, Leather, GPS, Autopilot",https://placekitten.com/600/400,4.4,199,110.8699047665094
